date,spy_close,sma_200,pct_above_sma,trend_score,fed_assets,tga,rrp,net_liquidity,liq_slope_20d,liq_slope_pct,liquidity_score,vix,hy_spread,vix_score,spread_score,risk_appetite_score,score,category
2018-04-20,266.61,266.40655,0.07636824244750443,50.38183378927948,4385.903,275.246,13.92,4096.737,1.4161515151515094,0.03456779176089433,96.94326683270982,15.96,3.33,35.099999999999994,36.7,71.8,68.3,bull
2018-04-21,266.61,266.4753,0.05054877506470932,50.25274172265969,4385.903,275.246,12.02,4098.637,1.4090545454545216,0.034378612827984566,96.88670689271169,16.88,3.33,32.800000000000004,36.7,69.5,67.3,bull
2018-04-22,266.61,266.54255,0.02530552814175748,50.1265273706279,4385.903,275.246,12.02,4098.637,1.7570121212120808,0.04286820524023184,98.64378904766497,16.88,3.33,32.800000000000004,36.7,69.5,67.6,bull
2018-04-23,266.57,266.6021,-0.012040415285556267,49.93979795266417,4385.903,275.246,12.02,4098.637,1.8495575757575242,0.04512616208162675,98.91493055961818,16.88,3.33,32.800000000000004,36.7,69.5,67.6,bull
2018-04-24,262.98,266.64515,-1.3745421583703972,43.17024813375926,4385.903,275.246,10.821,4099.836,1.8913030303029947,0.04613118745001006,99.01766265404316,16.34,3.36,34.150000000000006,36.4,70.55000000000001,65.3,bull
2018-04-25,263.63,266.69145000000003,-1.1479370635991653,44.285394244521356,4385.903,275.246,9.532,4101.125,1.8372242424242082,0.044798055226900134,98.87914385046882,18.02,3.41,29.95,35.9,65.85,63.8,bull
2018-04-26,266.31,266.75115,-0.1653788559112091,49.17318109785028,4372.886,359.599,3.57,4009.717,-3.3845030303030565,-0.08440752876831598,0.02158409549691953,17.84,3.47,30.4,35.3,65.69999999999999,46.0,neutral
2018-04-27,266.56,266.81419999999997,-0.09527229060521102,49.52365295925765,4372.886,359.599,3.795,4009.492,-7.685684848484851,-0.1916872473741025,4.7329140784313495e-07,16.24,3.43,34.400000000000006,35.699999999999996,70.1,47.8,neutral
2018-04-28,266.56,266.8739,-0.11762109370754864,49.41192165087976,4372.886,359.599,2.92,4010.367,-11.04892727272726,-0.2755091310278401,1.0834355634870008e-10,15.41,3.44,36.475,35.6,72.075,48.6,neutral
2018-04-29,266.56,266.9316,-0.13921169318282317,49.30398649573496,4372.886,359.599,2.92,4010.367,-12.76615757575753,-0.3183289104403046,1.4992451724538114e-12,15.41,3.44,36.475,35.6,72.075,48.6,neutral
