trade_id,y_max,MAE,y_actual,regret,nATR,structural_stop,is_survivor,y_max_survivor
1937,6.102719033232616,-10.634441087613302,-9.425981873111786,15.528700906344401,3.0340958135520073,-6.068191627104015,False,-10.634441087613302
1938,8.140703517587946,-5.829145728643217,-4.623115577889438,12.763819095477384,1.9490308686288573,-3.8980617372577147,False,-5.829145728643217
1939,1.1396674031864218,-8.76846144900569,-8.431212931736248,9.57088033492267,2.174671473427139,-4.349342946854278,False,-8.76846144900569
1940,16.812439261418856,-12.504049238743114,3.6929057337220503,13.119533527696806,2.603082049146189,-5.206164098292378,False,-12.504049238743114
1941,2.8916591697725225,-8.122349312427717,-7.942423852975204,10.834083022747727,2.0399966952466615,-4.079993390493323,False,-8.122349312427717
1942,5.2335396736072015,-6.978052898142935,-5.683736634777717,10.917276308384919,3.6042554331805867,-7.208510866361173,True,5.2335396736072015
1943,1.1403273410249453,-5.55406493158036,-4.775959216528041,5.916286557552986,2.2068687952777033,-4.413737590555407,False,-5.55406493158036
1944,4.142559592686876,-6.989122888220327,-4.165702383707485,8.30826197639436,1.6919033292557915,-3.383806658511583,False,-6.989122888220327
1945,0.3109694472518119,-7.766461945113889,-6.468164502837591,6.779133950089403,1.500427582989972,-3.000855165979944,False,-7.766461945113889
1946,4.677263969171488,-4.860308285163778,0.5009633911367977,4.17630057803469,2.0079823837049244,-4.015964767409849,False,-4.860308285163778
1947,9.712463199214925,-8.967124631992153,-5.704121687929333,15.416584887144257,3.141919599046684,-6.283839198093368,False,-8.967124631992153
1948,1.9947961838681738,-9.15004336513443,-8.36947094535993,10.364267129228104,1.912681204311734,-3.825362408623468,False,-9.15004336513443
1949,1.343570057581568,-10.364683301343575,-9.596928982725528,10.940499040307095,3.156018645462026,-6.312037290924052,False,-10.364683301343575
1950,15.729166666666666,-16.666666666666664,-4.479166666666664,20.20833333333333,4.253645833333333,-8.507291666666665,False,-16.666666666666664
1951,0.3278688524590183,-8.02445123645457,-7.285357043623221,7.613225896082239,2.3288214980351682,-4.6576429960703365,False,-8.02445123645457
1952,5.9644227415416715,-12.626438786187656,-11.893965817928148,17.85838855946982,5.124819373162589,-10.249638746325179,False,-12.626438786187656
1953,13.6679402570337,-5.47933310177145,-2.2577283779089914,15.925668634942692,4.731491589341535,-9.46298317868307,True,13.6679402570337
1954,1.6908212560386542,-6.951154052603319,-4.991948470209338,6.682769726247992,1.6601487615980348,-3.3202975231960696,False,-6.951154052603319
1955,1.173693086003379,-9.531197301854972,-6.239460370994941,7.4131534569983195,2.5487834256805635,-5.097566851361127,False,-9.531197301854972
1956,0.6918238993710768,-4.418238993710695,-3.4433962264151017,4.135220125786178,1.9227313566936213,-3.8454627133872425,False,-4.418238993710695
1957,11.638225255972696,-7.440273037542661,2.2866894197952154,9.35153583617748,2.6456606533398346,-5.291321306679669,False,-7.440273037542661
1958,12.312618926068595,-2.1116628765025345,0.34343528101360243,11.969183645054992,1.6694402270120472,-3.3388804540240944,True,12.312618926068595
1959,20.564149226569604,-7.961783439490445,6.505914467697906,14.058234758871698,4.265224879760823,-8.530449759521646,True,20.564149226569604
1960,2.1739130434782523,-6.3938618925831205,-2.259164535379374,4.433077578857626,3.199975642430887,-6.399951284861774,True,2.1739130434782523
1961,32.30525899565046,-1.8189007512850963,18.030842230130496,14.274416765519966,2.6690391459074725,-5.338078291814945,True,32.30525899565046
1962,2.1081576535288766,-6.507791017415224,-3.5288725939505023,5.6370302474793785,1.784077517349748,-3.568155034699496,False,-6.507791017415224
1963,12.215197423356788,-2.182989383275675,-0.32208040081116074,12.537277824167948,2.2971660332986823,-4.594332066597365,True,12.215197423356788
1964,55.0802139037433,-6.417112299465246,34.49197860962567,20.58823529411763,2.5401069518716577,-5.080213903743315,False,-6.417112299465246
1965,19.79074565281463,-8.635425876805186,11.140583554376661,8.650162098437967,3.4103827207275472,-6.8207654414550944,False,-8.635425876805186
1966,1.0474631751227428,-5.815602836879446,-0.3491543917075912,1.396617566830334,2.663860961733302,-5.327721923466604,False,-5.815602836879446
1967,18.06050443652623,-4.9744987074687375,6.3718298050723154,11.688674631453914,3.686114521264383,-7.372229042528766,True,18.06050443652623
1968,22.047970479704805,-12.696033210332109,6.688191881918816,15.35977859778599,3.0595759752240386,-6.119151950448077,False,-12.696033210332109
1969,5.888746924998569,-5.984095806556188,-3.7128854478536915,9.60163237285226,2.9251674734998208,-5.8503349469996415,False,-5.984095806556188
1970,13.660337552742616,-5.06329113924051,4.40400843881857,9.256329113924046,2.2472121760096404,-4.494424352019281,False,-5.06329113924051
1971,15.108538350217096,-2.1562952243125832,7.829232995658482,7.2793053545586135,2.0808352284473823,-4.161670456894765,True,15.108538350217096
1972,13.877343286114174,-6.192213079989819,8.524896089575025,5.352447196539149,1.9933836627364512,-3.9867673254729024,False,-6.192213079989819
1973,54.145995747696674,-7.0163004961020565,42.66477675407512,11.481218993621553,2.943707603523337,-5.887415207046674,False,-7.0163004961020565
1974,8.115732368896925,-3.3707052441229632,-1.3092224231464755,9.424954792043401,2.0397830018083147,-4.0795660036166295,True,8.115732368896925
1975,17.764778325123164,-7.327586206896538,-3.6945812807881646,21.459359605911327,3.8793103448275854,-7.758620689655171,True,17.764778325123164
1976,12.518540492435475,-3.708098487095817,6.140611094630674,6.3779293978048015,2.246048226469467,-4.492096452938934,True,12.518540492435475
1977,6.527978390140493,-3.958055862987492,-0.8722729745446316,7.400251364685125,2.608913531084273,-5.217827062168546,True,6.527978390140493
1978,6.3942554282783295,-2.316635322277319,-0.8548469823901521,7.249102410668481,1.7823559582834663,-3.5647119165669325,True,6.3942554282783295
1979,0.4950495049504992,-10.767326732673265,-5.363036303630351,5.85808580858085,1.3672795851013675,-2.734559170202735,False,-10.767326732673265
1980,11.35025163293714,-7.779205482385695,-5.894635399935749,17.24488703287289,4.003946583451886,-8.007893166903772,True,11.35025163293714
1981,4.053761109906779,-9.581617168870586,-8.237589421200962,12.291350531107742,3.0441918800904273,-6.088383760180855,False,-9.581617168870586
1982,2.1460088247091864,-4.913758523866832,-1.2033694344163686,3.349378259125555,2.4010085381926536,-4.802017076385307,False,-4.913758523866832
1983,3.8683665685953987,-15.724092840797638,-15.048490792197889,18.916857360793287,4.3509394604523735,-8.701878920904747,False,-15.724092840797638
1984,4.932735426008965,-2.4073637007316515,-1.659979545275745,6.59271497128471,1.9527518347438104,-3.905503669487621,True,4.932735426008965
1985,1.6626025271558413,-4.876967412990474,-4.655287076036359,6.3178896031922,2.5778256325806748,-5.1556512651613495,True,1.6626025271558413
1986,2.9463712267180373,-12.861271676300575,-8.413615928066797,11.359987154784834,3.7331406551059723,-7.4662813102119445,False,-12.861271676300575
1987,1.5527950310558936,-3.422487007225254,-3.226010901254914,4.778805932310807,1.9756260978215594,-3.951252195643119,True,1.5527950310558936
1988,6.433301797540206,-9.176915799432361,-5.156102175969725,11.589403973509931,3.4751317745641304,-6.950263549128261,False,-9.176915799432361
1989,2.793805040996043,-4.565239396700081,-3.4112764449843147,6.205081485980358,2.3438366134995348,-4.6876732269990695,True,2.793805040996043
1990,17.386504760590583,-6.623430384986888,-2.7735614737132677,20.16006623430385,5.692256894478509,-11.384513788957017,True,17.386504760590583
1991,4.803169101262683,-5.050755137410247,-1.9064124783362297,6.709581579598913,2.645633643405369,-5.291267286810738,True,4.803169101262683
1992,0.3861003861003966,-4.21200421200421,-3.8259038259038256,4.2120042120042225,2.188737903023616,-4.377475806047232,True,0.3861003861003966
1993,6.042368162897358,-2.651324336506085,0.26248110931410484,5.779887053583253,1.8763801090073056,-3.752760218014611,True,6.042368162897358
1994,28.31608654750706,-16.933207902163694,14.424584509250554,13.891502038256505,4.347354746225866,-8.694709492451732,False,-16.933207902163694
1995,10.416957188676633,-4.824989541207634,5.368846743829325,5.048110444847309,2.1256250373528296,-4.251250074705659,False,-4.824989541207634
1996,3.7927891432043803,-5.4689082438727885,-4.911889811626488,8.704678954830868,2.158988975375444,-4.317977950750888,False,-5.4689082438727885
1997,6.433301797540206,-9.176915799432361,-5.156102175969725,11.589403973509931,3.2098932288147046,-6.419786457629409,False,-9.176915799432361
1998,8.859434949424474,-8.12696198116499,-5.162190442971761,14.021625392396235,3.6561363296626626,-7.312272659325325,False,-8.12696198116499
1999,44.677538310251585,-15.086454150618698,-11.456199295255267,56.13373760550685,5.701045410379182,-11.402090820758364,False,-15.086454150618698
2000,32.327479594360625,-6.356047489488002,14.531288647044274,17.79619094731635,3.5890957916681363,-7.178191583336273,True,32.327479594360625
