fold,test_year,k_sl,k_tp,min_tp,train_expectancy,train_win_rate,test_expectancy,test_risk_adj_return,test_win_rate,test_loss_rate,test_avg_days,test_risk_reward,test_trades
4,2024,1.25,3.0,0.15,0.011197385326829602,0.12068691365876928,0.004906649265470596,0.11345002096310174,0.10047043010752688,0.5641801075268817,10.89885752688172,3.677827958358651,2976
4,2024,1.25,2.0,0.15,0.010752271759639252,0.12720623310542217,0.004860040405030396,0.11307656817030236,0.10618279569892473,0.5631720430107527,10.830981182795698,3.553128533174419,2976
4,2024,1.0,4.0,0.2,0.010478057824463278,0.062013038638893306,0.004291101602965461,0.10780611133118331,0.0540994623655914,0.6280241935483871,10.030577956989248,5.786897323850433,2976
4,2024,1.0,4.0,0.15,0.01077184705632699,0.10208300206710129,0.004186908903475143,0.10848843264274577,0.08602150537634409,0.6273521505376344,9.725470430107526,4.658481213290823,2976
4,2024,1.0,3.0,0.2,0.010138020576652664,0.06614724121481953,0.003599882930508159,0.09079026780671424,0.056451612903225805,0.6276881720430108,9.991935483870968,5.44288697588804,2976
4,2024,1.0,2.0,0.2,0.009919139152874339,0.06869136587692797,0.003480409651147303,0.08801389866122276,0.05779569892473118,0.6273521505376344,9.96505376344086,5.322928243961111,2976
4,2024,1.0,3.0,0.15,0.010403682044869888,0.1162346955000795,0.0032111153672545155,0.08413452090637803,0.09307795698924731,0.6270161290322581,9.617943548387096,4.287616977702027,2976
4,2024,1.0,2.0,0.15,0.00987944343131964,0.1219589759898235,0.003172651329905119,0.08370281468250912,0.09845430107526881,0.6256720430107527,9.551747311827956,4.135421040563818,2976
2,2022,1.0,2.0,0.15,0.009214559601413336,0.10799207397622193,-0.01804217503013129,-0.5701547001150469,0.05799055967633176,0.7336480107889414,7.974376264329063,3.425095391341509,1483
2,2022,1.0,3.0,0.15,0.009925773958145177,0.10287318361955086,-0.01810071263199294,-0.5695963221604811,0.05461901550910317,0.7349966284558328,8.008091706001348,3.5515770640306696,1483
2,2022,1.0,3.0,0.2,0.01016083456784359,0.06060105680317041,-0.01865761672407317,-0.5768718368208595,0.024275118004045852,0.7370195549561699,8.150370869858396,4.42928004337977,1483
2,2022,1.0,2.0,0.2,0.010063279156357805,0.062417437252311754,-0.018672014777456357,-0.5773647753244977,0.024275118004045852,0.7370195549561699,8.14969656102495,4.417941719041646,1483
2,2022,1.0,4.0,0.2,0.009847677017833527,0.05449141347424042,-0.018920974310058188,-0.582700522064912,0.022252191503708697,0.7370195549561699,8.182737693863789,4.552524231724739,1483
2,2022,1.0,4.0,0.15,0.009627124893505572,0.08768163804491413,-0.019121702485795068,-0.5949122682468689,0.041807147673634526,0.7370195549561699,8.099797707349966,3.7450346006656363,1483
